database_id,dev_code,mapping_title,api_title,introduction,status,error
1,Theme_01,Constant Moderato,Constant Moderato,蔚蓝档案的标题曲，同时也是整个游戏的代表曲目。,ok,
2,Theme_02,Luminous memory,Luminous memory,3rd PV使用的曲目，作为泳装梓回忆大厅背景音乐更为玩家们所熟知。,ok,
3,Theme_03,Mischievous Step,Mischievous Step,最常见的日常剧情曲目之一，也是推图时不得不听的背景音乐。常常出现在一些有趣的情境下。,ok,
4,Theme_04,Lovely Picnic,Lovely Picnic,最常见的日常剧情曲目之一，多用于日常剧情的开头。不论音乐还是与其搭配的剧情都能令人感到轻松愉快。,ok,
5,Theme_05,Colorful Mess,Colorful Mess,常见的日常剧情曲目之一，节奏很动感，一听就知道很跳脱的事情正在发生。,ok,
6,Theme_06,Funky Road,Funky Road,最常见的日常曲目之一，多用于日常剧情开头。旋律中带着活力，很有青春气息。,ok,
7,Theme_07,Unwelcome School,Unwelcome School,"银行不妙曲、阿露受难曲…… 

> 在制作这首歌曲时，关键词是“恶党虽然会做出恶行，但恶行里也存在搞笑的元素，希望曲子本身能够表现出一定的速度感”，虽然脑海中浮现的创意不多，但是过多的想法和苦恼可能也会成为毒药，所以就抱着“先做做看吧!”的想法，跟随着指尖的动作自然而然地进行了创作。因为恶徒这一关键词，所以比起Major,更多的采用了Minor，比起全音阶，我使用了更多的半音阶，很适合表达不稳定和脱线的感觉。 
——[《蔚蓝档案》开发者对话vol.3——音乐总监篇](
https://www.bilibili.com/video/BV1Wp4y1j7Cy/)",ok,
8,Theme_08,Shady Girls,Shady Girls,最常见的日常剧情曲目之一，一般此时发生的事情稍显滑稽——即使在基沃托斯。,ok,
9,Theme_09,Midsummer cat,Midsummer cat,常见的回忆大厅和日常剧情曲目之一。仿佛可以看到由夏日、蓝天和阳光组成的清新画面。,ok,
10,Theme_10,Romantic Smile,Romantic Smile,最常见的日常剧情曲目之一，多用于日常剧情开头。曲如其名，是足以让人露出微笑的音乐。,ok,
11,Theme_11,Connected Sky,Connected Sky,学生招募界面未曾改变过的背景音乐，同时也是常见的日常剧情曲目之一。,ok,
12,Theme_12,Shooting Stars,Shooting Stars,次回To Be Continued......,ok,
13,Theme_13,Barrier,Barrier,常见的日常剧情曲目之一，相比其他音乐更加侧重青春中的“活力”这一部分。,ok,
14,Theme_14,Step by Step,Step by Step,是时候开始夏莱今天的工作了，老师。,ok,
15,Theme_15,Honey Jam,Honey Jam,最常用的日常剧情曲目之一。争端、火并和喧闹结束之后，基沃托斯的暖心日常。,ok,
16,Theme_16,MX Adventure,MX Adventure,编队和任务界面的背景音乐，也是最常用的日常剧情曲目之一。听着好像没出什么大事。,ok,
17,Theme_17,Irasshaimase,Irasshaimase,会令人立刻联想到冷酷的算数使与打工的初中生的背景音乐。,ok,
18,Theme_18,Mechanical JUNGLE,Mechanical JUNGLE,最常见的战斗及战斗剧情曲目之一。 偶尔也会出现在一些意义不明的“战斗”中。,ok,
19,Theme_19,Virtual Storm,Virtual Storm,最常见的战斗曲目之一。,ok,
20,Theme_20,Tech N Tech,Tech N Tech,最常见的战斗曲目之一。,ok,
21,Theme_21,Midnight Trip,Midnight Trip,常见的回忆大厅和日常剧情曲目之一，基沃托斯温柔的宁静瞬间。,ok,
22,,Midnight Trip (Short),Midnight Trip (Short),游戏内使用的非发行版曲目，剪辑过的Midnight Trip。,ok,
23,Theme_22,Daily Routine 247,Daily Routine 247,观察两位小小的什亭之匣管理者时的背景音乐，也是最常用的日常曲目之一。,ok,
24,Theme_23,Party time,Party time,"战斗胜利的音乐，到底是在跟什么战斗暂且不论。
> 将Chiptune(芯片电子音乐)的感觉与Future Bass(未来贝斯)融合起来
——[《蔚蓝档案》开发者对话vol.3——音乐总监篇](https://www.bilibili.com/video/BV1Wp4y1j7Cy/)",ok,
25,Theme_24,Endless Carnival (All),Endless Carnival (All),"比纳总力战战斗曲目的完整版。 
> 融合了Classic( 古典音乐)的感觉和Drum & Bass (鼓点贝斯)两种风格
——[《蔚蓝档案》开发者对话vol.3——音乐总监篇](https://www.bilibili.com/video/BV1Wp4y1j7Cy/)",ok,
26,,Endless Carnival 8-Bit Arrange,Endless Carnival 8-Bit Arrange,比纳总力战战斗曲目的8-Bit版，出现于游戏部小游戏。,ok,
27,,Endless Carnival 03 (Chorus),Endless Carnival 03 (Chorus),比纳总力战战斗曲目的第三部分，在战斗的第二阶段内循环播放。,ok,
28,,Endless Carnival 01 (Intro),Endless Carnival 01 (Intro),比纳总力战战斗曲目的第一部分，进入战斗时播放。,ok,
29,,Endless Carnival 02 (Verse),Endless Carnival 02 (Verse),比纳总力战战斗曲目的第二部分，在战斗的第一阶段内循环播放。,ok,
30,Theme_25,Future Bossa,Future Bossa,学生管理界面的背景音乐。,ok,
31,Theme_26,Lemonade Diary,Lemonade Diary,夏莱自营咖啡厅常年循环播放的背景音乐。,ok,
32,Theme_27,Fade Out,Fade Out,战斗失败界面的曲目，也是剧情中营造紧张氛围的常用曲目之一。,ok,
33,Theme_28,Plug and Play,Plug and Play,常见的日常剧情曲目之一，睦月回忆大厅的背景音乐。,ok,
34,Theme_29,Alert,Alert,常见的战斗及战斗剧情曲目之一。,ok,
35,Theme_30,CrossFire,CrossFire,常见的战斗及战斗剧情曲目之一。,ok,
36,Theme_31,Hello to Halo,Hello to Halo,事件结束，她们继续着充满希望的日常。,ok,
37,Theme_32,GGF,GGF,"困境之中仍存希望，带领她们进入下一个阶段的战斗吧。
常见的关键剧情曲目。",ok,
38,Theme_33,Vivid Night,Vivid Night,大概是有什么人又在做些令人胃疼的事情时会听到的背景音乐。常见的日常曲目之一，多见于剧情开头。,ok,
39,Theme_34,Aoharu,Aoharu,"她的声音逐渐远去...... 
电车驶离，你睁开双眼，眼前是蔚蓝的天空、巨大的光环、喧闹的学园都市......
你和她们的青春故事就此展开。 
蔚蓝档案的关键曲目之一，传达了“青春”和“阳光”的主题曲。",ok,
40,,Aoharu（short）,Aoharu（short）,游戏内使用的非发行版曲目，剪辑过的Aoharu。,ok,
41,Theme_35,Morose Dreamer,Morose Dreamer,"尽管令人痛心，但悲伤也是她们的青春中不可或缺的一部分。
常用的情绪渲染曲目之一。",ok,
42,Theme_36,Koi is love,Koi is love,可爱就是正义！处处透露出可爱和青春感的曲目，是最常见的回忆大厅曲目之一。,ok,
43,Theme_37,Aira,Aira,"被令人安心的寂静包围，眼前的画面也许并不华丽，但那份光辉温暖心灵。
常见的回忆大厅曲目之一。",ok,
44,Theme_38,Guruguru Usagi,Guruguru Usagi,"非常可爱的旋律，不过取决于人，有时好像还混杂着一丝傻气。
最常用的日常剧情曲目之一。",ok,
45,Theme_39,Water Drop,Water Drop,"学生们散发出纯真光芒的瞬间。
常用的回忆大厅曲目之一。",ok,
46,Theme_40,Neo City Dive,Neo City Dive,令人忍不住想要跟着跳几下的旋律，能想象出学生们欢快的样子。常用的日常剧情曲目之一。,ok,
47,Theme_41,Interface,Interface,最常见的战斗及战斗剧情曲目之一。,ok,
48,Theme_42,Glitch Street,Glitch Street,"2ndPV使用的曲目，推出时引起了大量玩家对主线剧情的猜想。 
铺垫...积累...最后爆发。",ok,
49,Theme_43,KIRISAME,KIRISAME,"温柔的旋律，温柔的时刻。
常用的回忆大厅曲目之一。",ok,
50,Theme_44,Walkthrough,Walkthrough,"平凡的每一天里，平凡的每一刻。
日常感很强的常用日常曲目之一。",ok,
51,Theme_45,Signal of Abydos,Signal of Abydos,充满阳光与活力的日常曲目之一。,ok,
52,Theme_46,Sugar story,Sugar story,"没有青春的那份刺激和跃动，仅仅是一份温柔的宁静回忆。
常用的回忆大厅曲目之一。",ok,
53,Theme_47,Coffee Cats,Coffee Cats,带着些许生活气息的常用日常曲目之一。,ok,
54,Theme_48,Out of Control (All),Out of Control (All),"敌人数量有着压倒性的优势时的压迫感，反复的战斗的刺激感体现的淋漓尽致。
与第四质点「凯赛德」及其无限军队战斗的曲目完整版。",ok,
55,,Out of Control 03 (Chorus),Out of Control 03 (Chorus),"凯赛德总力战的第三部分，在第二阶段循环播放。
与第四质点「凯赛德」本体及其无限军队战斗的曲目。",ok,
56,,Out of Control 01 (Intro),Out of Control 01 (Intro),"凯赛德总力战的第一部分，进入战斗时播放。
与第四质点「凯赛德」的无限军队战斗的曲目。",ok,
57,,Out of Control 02 (Verse),Out of Control 02 (Verse),"凯赛德总力战的第二部分，在第一阶段循环播放。
与第四质点「凯赛德」的无限军队战斗的曲目。",ok,
58,Theme_49,Mechanical JUNGLE (Hi-Tech Full On Mix),Mechanical JUNGLE (Hi-Tech Full On Mix),"Mechanical JUNGLE的Remix版，将原版中稍缺动感的一部分加以改动。
常见的战斗及战斗剧情曲目之一。",ok,
59,Theme_50,Hue,Hue,让人倍感温馨的常用日常剧情曲目之一。,ok,
60,Theme_51,ARES,ARES,作为竞技场和学院交流会界面的背景音乐而闻名的曲目。,ok,
61,Theme_52,Vibes,Vibes,老师今天要访问哪些地方安排课程呢？,ok,
62,Theme_53,Future Lab,Future Lab,这一未知的物体，又将能制造出什么来呢？,ok,
63,Theme_54,After the Beep,After the Beep,以人声采样为特点的可爱曲目之一。,ok,
64,Theme_55,Moment,Moment,"事情不会一帆风顺，这个世界上也永远存在着悲伤、不幸、斗争……
渲染悲凉情绪时常用的曲目之一。",ok,
65,Theme_56,Fearful Utopia,Fearful Utopia,"早已废弃的游乐园响起光亮，本应静止的玩偶站在园内，荒诞的都市怪谈成为现实……
与白&黑战斗时的曲目的完整版。",ok,
66,Theme_57,Han-nari,Han-nari,是首很有百鬼夜行学校风格的音乐，初登场于活动「樱花烂漫祭典大骚动！」。,ok,
67,Theme_58,SAKURA PUNCH,SAKURA PUNCH,以人声采样为特点的战斗曲目之一。,ok,
68,Theme_59,RE Aoharu,RE Aoharu,"面对任何困难、任何事件、任何力量都不会害怕的，即使是重来一次的，与你一起的青春故事。
突入，缓和，转折——震撼人心的Re Aoharu，蔚蓝档案的关键曲目之一，最终章主题曲。于日服2周年纪念直播上与最终章预告4thPV一同放出，广受好评。",ok,
69,,RE Aoharu (Short),RE Aoharu (Short),"面对任何困难、任何事件、任何力量都不会害怕的，即使是重来一次的，与你一起的青春故事。
突入，缓和，转折——震撼人心的Re Aoharu，蔚蓝档案的关键曲目之一，最终章主题曲。于日服2周年纪念直播上与最终章预告4thPV一同放出，广受好评。

游戏内使用的非发行版曲目，剪辑过的RE Aoharu。",ok,
70,,RE Aoharu (Title),RE Aoharu (Title),"最终章期间游戏的标题界面用曲，剪辑过的Re Aoharu,以钢琴部分到原曲结尾部分进行循环。",ok,
71,Theme_60,SAKURA PUNCH Hard Arrange,SAKURA PUNCH Hard Arrange,SAKURA PUNCH的Remix版，对原曲的后部分进行了修改，是常用的战斗及战斗剧情曲目之一。,ok,
72,Theme_61,Rolling Beat,Rolling Beat,总是和一直在吃明太子味薯片的桃香一起出现的曲目。,ok,
73,Theme_62,Merry Blue,Merry Blue,虽然并不是圣诞节活动曲，但确实是很有圣诞节气息的一首曲目。,ok,
74,Theme_63,Blooming moon,Blooming moon,优雅的同时不失可爱与活泼，眼前的少女正用着自己的方式向你展示这古香的景色。,ok,
75,Theme_64,Pixel Time,Pixel Time,内向怕羞的部长，头脑跳脱的脚本，吐槽役的美术，还有试玩员爱丽丝！千禧年的游戏开发部，今天也在为了向全基沃托斯传达游戏的魅力而进行游戏开发！,ok,
76,Theme_65,Accelerator,Accelerator,接下来的作战异常艰难，至关重要。老师，她们需要你的指挥。,ok,
77,Theme_66,Golden Shangri-la,Golden Shangri-la,欢迎来到山海经！多样的美食，古风的街道，悠久的文化……总有一个能让你流连忘返！,ok,
78,Theme_67,"Someday, sometime","Someday, sometime",此刻的寂静并未令人感到不适，陪伴便已足够。,ok,
79,Theme_68,Virtual Storm Hard Arrange,Virtual Storm Hard Arrange,Virtual Storm的Remix版，前半部分的旋律稍显克制，更加凸显战斗的紧张感。,ok,
80,Theme_69,Snow Pantomime,Snow Pantomime,最常用的战斗曲目之一，适用场景多为雪地。,ok,
81,Theme_70,Black Suit,Black Suit,令人不寒而栗的不详音乐。面对眼前的「人」必须多加谨慎。,ok,
82,Theme_71,Denshi Toujou!,Denshi Toujou!,"KAITENGER!!! 
在各个地方追击通缉犯无限回转寿司战队成员时的音乐。",ok,
83,Theme_72,Kaiten Screw!!!,Kaiten Screw!!!,"这真的不是在拍特摄片吗？
与无限回转寿司战队及其机甲「KAITEN FX Mk.0」对战时的曲目。",ok,
84,Theme_73,Interface Hard Arrange,Interface Hard Arrange,Interface的Remix版，更适合塑造危险和阴谋的氛围，是常用的战斗曲目，也是常用的剧情曲目之一。,ok,
85,Theme_74,Tech N Tech Hard Arrange,Tech N Tech Hard Arrange,Tech N Tech的Remix版，是常见的战斗及战斗剧情曲目之一。,ok,
86,Theme_75,Alert Hard Arrange,Alert Hard Arrange,Alert的Remix版，是常见的战斗及战斗剧情曲目之一。,ok,
87,Theme_76,CrossFire Hard Arrange,CrossFire Hard Arrange,Crossfire的Remix版，是常用的战斗及战斗剧情曲目之一。,ok,
88,Theme_77,Burning Love,Burning Love,携带着快要满溢出来的感情的「灾厄之狐」，全速奔来！,ok,
89,Theme_78,Fever Time,Fever Time,与通缉犯无限回转寿司战队的5位成员对战的曲目。,ok,
90,Theme_79,Summer Bounce,Summer Bounce,"为了能让日奈委员长顺利度过一个放松的暑假，风纪委众人进行着手忙脚乱的战斗...... 
第一年夏活用曲之一，充满夏日气息。",ok,
91,Theme_80,Colorful Beach,Colorful Beach,"夏天...海边...伙伴...青春，还有坦克！ 
第一年夏活用曲之一，夏日感和青春感的完美融合。",ok,
92,Theme_81,Summer Bounce Hard Arrange,Summer Bounce Hard Arrange,"Summer Bounce的Remix版，更加适合融入战斗的紧张感。 
仅用在夏活关卡中的曲目。",ok,
93,Theme_82,Hifumi Daisuki,Hifumi Daisuki,地下犯罪组织蒙面泳装团魁首浮士德大人的专用背景音乐......,ok,
94,Theme_83,PRST Academy,PRST Academy,"充满了红冬学园特殊风格气息的音乐...... 
 常见的红冬相关剧情曲目之一。",ok,
95,Theme_84,PRST Marching,PRST Marching,"又是一首很有红冬味道的行军音乐...... 
常见的红冬相关战斗及战斗剧情曲目之一。",ok,
96,Theme_85,Library of Omen (All),Library of Omen (All),"面前的「教义」气势恢宏，将神秘与恐怖同时带给世界—— 
将恢宏与动感合理融合在一起，是与希罗尼穆斯战斗的曲目的完整版。",ok,
97,,Library of Omen （8bit）,Library of Omen （8bit）,主教战斗曲的8-Bit版，出现于游戏部小游戏。,ok,
98,,Library of Omen 02 (Chorus),Library of Omen 02 (Chorus),与希罗尼穆斯战斗的曲目的第二部分，在第二阶段循环。,ok,
99,,Library of Omen 01 (Verse),Library of Omen 01 (Verse),与希罗尼穆斯战斗的曲目的第一部分，在第一阶段循环。,ok,
100,Theme_86,Summertime archive,Summertime archive,向人传达夏日海滨的轻松感、惬意感与愉快情绪的夏日曲目。,ok,
101,Theme_87,Constant Moderato -Piano Arrange-,Constant Moderato -Piano Arrange-,"我们的青春故事，是要由自己来书写的Happy End！ 
使用于Vol3剧情关键节点的音乐。",ok,
102,Theme_88,Oriental Drop,Oriental Drop,来和小瞬一起在世外桃源般优美的山海经闲逛吧！,ok,
103,Theme_89,The Dragon Express,The Dragon Express,同时使用了弦乐与电子合成元素的战斗曲目，常见于与山海经相关的战斗中。,ok,
104,Theme_91,FEEEEVER TIME,FEEEEVER TIME,"还真是闹出大动静了呢...... 
日常剧情曲目之一，常用于较为离谱的情景中。",ok,
105,Theme_92,Crucial Issue,Crucial Issue,"情况急转直下，危机悄然来临。 
渲染紧张感时常用的剧情曲目之一。",ok,
106,Theme_93,Formless Dream,Formless Dream,气氛神秘而诡异的常用剧情音乐，阴谋正徐徐展开。,ok,
107,Theme_94,Bunny Bunny Carrot Carrot,Bunny Bunny Carrot Carrot,"活动「船上的兔女郎」使用曲目，包含了熟悉的人声采样，吵吵闹闹的仿佛有用不完的活力。

1.游戏内界面：
 - 活动「船上的兔女郎」：活动大厅、活动商店

2.回忆大厅：
 - 花凛（兔女郎）
 - 明日奈（兔女郎）

3.活动剧情：
 - 船上的兔女郎 7、9、11

4.个人剧情：
 - 妮禄（兔女郎） 3
 - 花凛（兔女郎） 1
 - 明日奈（兔女郎） 1、4
 - 茜（兔女郎） 1

5.社团剧情：
 - C&C 3",ok,
108,Theme_95,Jackpot 777,Jackpot 777,活动「船上的兔女郎」战斗使用曲目，豪华的邮轮赌场上的音乐，容易让人想起表情嚣张的小雪。,ok,
109,Theme_96,OperationD,OperationD,活动特殊作战「神名十文字」篇使用曲目，科技感强烈的电音。,ok,
110,Theme_97,Blue New Year!,Blue New Year!,活动「新春狂想曲 第68番」使用曲目，喜气洋洋新年风格的电音，让人沉浸在新春的喜庆氛围里。,ok,
111,Theme_98,Oxygen Destroyer,Oxygen Destroyer,总力战佩洛洛斯拉使用曲目，在总力战战斗过程中循环播放，曲名“氧气毁灭者”出自哥斯拉系列中的一种强大武器，足以杀死怪兽之王——哥斯拉。在激烈的快节奏鼓点、警报声中面对神秘的巨大怪兽，守护基沃托斯的城市。,ok,
